PLACE_ID,MARK,SCORE,VARIANT
29,6.87,85,B
16,7.23,72,B
94,4.13,76,B
9,3.61,93,A
32,9.56,9,B
73,6.44,29,B
83,7.94,14,C
20,8.21,31,B
76,5.72,54,B
22,6.13,56,A
12,8.84,76,C
37,7.74,33,C
61,7.88,55,A
83,6.26,64,B
43,9.13,81,A
7,4.08,79,B
30,1.51,71,A
100,9.82,43,A
58,2.46,98,C
16,6.65,1,B
32,2.72,64,A
44,2.15,67,C
5,6.23,74,B
16,5.02,45,A
49,1.65,43,A
72,9.74,85,A
83,1.73,80,C
89,4.53,49,A
55,4.43,25,C
32,5.38,67,C
55,7.14,83,A
44,3.46,85,C
44,6.69,49,C
98,6.89,86,B
77,8.2,55,A
1,2.48,54,C
1,3.03,93,A
37,5.32,6,B
18,7.02,61,B
76,1.72,91,A
57,4.57,88,A
57,7.12,20,B
99,2.64,99,B
26,5.23,68,A
35,9.3,67,B
97,3.49,24,C
45,8.08,88,A
93,2.69,50,B
4,3.36,83,C
60,7.69,47,C
11,7.67,31,A
26,4.15,52,C
81,8.04,79,C
68,4.2,100,A
4,1.99,87,C
10,6.72,15,B
61,6.15,22,C
95,5.43,34,C
32,3.35,76,A
15,5.74,38,A
9,4.87,65,A
56,4.98,76,C
28,4.48,26,A
5,4.31,86,A
15,6.31,62,B
21,9.16,68,A
31,2.44,51,A
42,9.14,16,B
1,2.01,52,A
7,1.99,30,A
64,2.24,26,A
65,8.09,94,C
41,5.29,46,B
45,7.23,75,A
22,8.12,11,A
7,8.79,14,C
56,8.01,42,C
47,2.73,12,A
100,7.08,3,C
42,6.77,62,B
70,4.13,52,B
41,8.92,91,A
10,7.49,42,A
4,6.25,11,B
99,7.7,31,B
61,2.42,22,B
67,2.44,0,C
94,4.39,33,B
13,7.57,63,C
92,3.37,100,C
6,3.07,23,C
10,7.36,25,A
84,6.62,38,B
48,7.71,61,A
91,7.57,34,B
33,6.13,15,A
28,4.06,7,B
11,7.22,24,A
25,6.86,11,A
65,9.12,51,C
